id,semantic,tags,category,description
KensIcons-document-save-as,kensicons-document-save-as,"kensicons,document,as,save",files,Kensicons Document Save As icon
KensIcons-document-save,kensicons-document-save,"kensicons,document,save",files,Kensicons Document Save icon
KensIcons-drive-encrypted,kensicons-drive-encrypted,"kensicons,encrypted,drive",ui,Kensicons Drive Encrypted icon
KensIcons-drive-harddisk-ieee1394,kensicons-drive-harddisk-ieee1394,"kensicons,harddisk,ieee1394,drive",ui,Kensicons Drive Harddisk Ieee1394 icon
KensIcons-drive-harddisk,kensicons-drive-harddisk,"kensicons,harddisk,drive",ui,Kensicons Drive Harddisk icon
KensIcons-drive-harddisk-usb,kensicons-drive-harddisk-usb,"kensicons,harddisk,usb,drive",ui,Kensicons Drive Harddisk Usb icon
KensIcons-drive-optical,kensicons-drive-optical,"kensicons,optical,drive",ui,Kensicons Drive Optical icon
KensIcons-drive-optical-recorder,kensicons-drive-optical-recorder,"kensicons,optical,recorder,drive",ui,Kensicons Drive Optical Recorder icon
KensIcons-drive-removable-media-flash-cf,kensicons-drive-removable-media-flash-cf,"removable,flash,media,cf,kensicons",ui,Kensicons Drive Removable Media Flash Cf icon
KensIcons-drive-removable-media-flash-ms,kensicons-drive-removable-media-flash-ms,"removable,flash,media,kensicons,ms",ui,Kensicons Drive Removable Media Flash Ms icon
KensIcons-drive-removable-media-flash,kensicons-drive-removable-media-flash,"removable,flash,media,kensicons,drive",ui,Kensicons Drive Removable Media Flash icon
KensIcons-drive-removable-media-flash-sd,kensicons-drive-removable-media-flash-sd,"removable,flash,media,sd,kensicons",ui,Kensicons Drive Removable Media Flash Sd icon
KensIcons-drive-removable-media-flash-sm,kensicons-drive-removable-media-flash-sm,"sm,removable,flash,media,kensicons",ui,Kensicons Drive Removable Media Flash Sm icon
KensIcons-drive-removable-media-floppy,kensicons-drive-removable-media-floppy,"removable,media,floppy,kensicons,drive",ui,Kensicons Drive Removable Media Floppy icon
KensIcons-drive-removable-media-ieee1394,kensicons-drive-removable-media-ieee1394,"removable,ieee1394,media,kensicons,drive",ui,Kensicons Drive Removable Media Ieee1394 icon
KensIcons-drive-removable-media,kensicons-drive-removable-media,"kensicons,removable,media,drive",ui,Kensicons Drive Removable Media icon
KensIcons-drive-removable-media-usb,kensicons-drive-removable-media-usb,"usb,removable,media,kensicons,drive",ui,Kensicons Drive Removable Media Usb icon
KensIcons-edit-copy,kensicons-edit-copy,"kensicons,copy,edit",ui,Kensicons Edit Copy icon
KensIcons-edit-delete,kensicons-edit-delete,"delete,kensicons,edit",ui,Kensicons Edit Delete icon
KensIcons-edit-find,kensicons-edit-find,"kensicons,find,edit",ui,Kensicons Edit Find icon
KensIcons-edit-paste,kensicons-edit-paste,"kensicons,paste,edit",ui,Kensicons Edit Paste icon
KensIcons-edit-select-all,kensicons-edit-select-all,"kensicons,edit,select,all",ui,Kensicons Edit Select All icon
KensIcons-emblem-default,kensicons-emblem-default,"kensicons,emblem,default",ui,Kensicons Emblem Default icon
KensIcons-emblem-documents,kensicons-emblem-documents,"kensicons,emblem,documents",files,Kensicons Emblem Documents icon
KensIcons-emblem-downloads,kensicons-emblem-downloads,"kensicons,emblem,downloads",ui,Kensicons Emblem Downloads icon
KensIcons-emblem-favorite,kensicons-emblem-favorite,"kensicons,favorite,emblem",ui,Kensicons Emblem Favorite icon
KensIcons-emblem-fun,kensicons-emblem-fun,"kensicons,emblem,fun",ui,Kensicons Emblem Fun icon
KensIcons-emblem-generic,kensicons-emblem-generic,"kensicons,emblem,generic",ui,Kensicons Emblem Generic icon
KensIcons-emblem-important,kensicons-emblem-important,"kensicons,emblem,important",ui,Kensicons Emblem Important icon
KensIcons-emblem-mail,kensicons-emblem-mail,"kensicons,emblem,mail",ui,Kensicons Emblem Mail icon
KensIcons-emblem-multimedia,kensicons-emblem-multimedia,"multimedia,kensicons,emblem",ui,Kensicons Emblem Multimedia icon
KensIcons-emblem-musicarchiv,kensicons-emblem-musicarchiv,"kensicons,emblem,musicarchiv",ui,Kensicons Emblem Musicarchiv icon
KensIcons-emblem-new,kensicons-emblem-new,"new,kensicons,emblem",ui,Kensicons Emblem New icon
KensIcons-emblem-package,kensicons-emblem-package,"kensicons,emblem,package",ui,Kensicons Emblem Package icon
KensIcons-emblem-photos,kensicons-emblem-photos,"kensicons,emblem,photos",ui,Kensicons Emblem Photos icon
KensIcons-emblem-shared,kensicons-emblem-shared,"kensicons,emblem,shared",ui,Kensicons Emblem Shared icon
KensIcons-emblem-system,kensicons-emblem-system,"kensicons,system,emblem",ui,Kensicons Emblem System icon
KensIcons-emblem-urgent,kensicons-emblem-urgent,"kensicons,urgent,emblem",ui,Kensicons Emblem Urgent icon
KensIcons-emblem-web,kensicons-emblem-web,"kensicons,web,emblem",network,Kensicons Emblem Web icon
KensIcons-folder-documents,kensicons-folder-documents,"kensicons,documents,folder",files,Kensicons Folder Documents icon
